tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s,alpha_min_rate_radps,alpha_max_rate_radps
moderate,24,79,slack_oracle,10.0,0.19866028571108543,0.046691408229944435,0.5521105868975981,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,0.07025836527212795,0.04726266555416319,0.47503050877259806,20.81262440308339,81562.01171875,100.94953086698972,0.3499954242902893,0.35000000980843354,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,True,True,0.07025836527212795,0.14025836527212796,-0.0002583652721279417,0.010094953086698971,1.0406312201541694,0.5306151266011491,0.0015269204389574964,0.0015269204389574964
moderate,24,79,slack_oracle,11.0,0.20133607323840486,0.046681409023789304,0.5987970042170186,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,0.07127348750452284,0.047305605801133056,0.5223147483576437,20.7755818231183,81472.33837890625,102.02302244159293,0.3499986282942664,0.35000000961625205,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,True,True,0.07127348750452284,0.14127348750452284,-0.00127348750452283,0.010202302244159293,1.0387790911559152,0.5306151266011491,0.0016606652949245349,0.0016606652949245349
moderate,24,79,slack_oracle,12.0,0.20347438344789032,0.046671208632938006,0.6454733200577154,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,0.07162253159603846,0.04734758314465675,0.5696414450577154,20.735907258102767,81374.78125,103.20933395739617,0.3499995934547993,0.35000000886672494,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,True,True,0.07162253159603846,0.14162253159603846,-0.0016225315960384512,0.010320933395739617,1.0367953629051383,0.5306151266011491,0.00178926611796984,0.00178926611796984
moderate,24,79,slack_oracle,13.0,0.20518117817334902,0.04666081282864151,0.6921393364461288,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,0.07141660341340389,0.047388603355985257,0.6170096391805038,20.693684147169208,81269.45458984375,104.51092911226299,0.34999988371239293,0.3500000026791208,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,True,True,0.07141660341340389,0.1414166034134039,-0.001416603413403883,0.010451092911226298,1.0346842073584603,0.5306151266011491,0.0019127229080932728,0.0019127229080932728
moderate,24,79,slack_oracle,14.0,0.2065414976244211,0.04665022370035539,0.7387948592732939,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,0.07074588719918104,0.04742866852457414,0.6644183748982939,20.64899104951369,81156.47265625,105.93054255246136,0.3499999668371036,0.3499999721386897,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,True,True,0.07074588719918104,0.14074588719918105,-0.0007458871991810334,0.010593054255246136,1.0324495524756845,0.5306151266011491,0.002031035665294917,0.002031035665294917
moderate,24,79,slack_oracle,15.0,0.20762358894206295,0.046639440314044905,0.7854396949565903,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,0.06968377412724813,0.04746777771638866,0.7118666969097153,20.60190237372883,81035.94970703125,107.47119075862324,0.3499999705414403,0.34999996859438937,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.06968377412724813,0.13968377412724814,0.0003162258727518741,0.010747119075862325,1.0300951186864415,0.5306151266011491,0.002144204389574772,0.002144204389574772
moderate,24,79,slack_oracle,16.0,0.2084822199801203,0.04662845922774418,0.8320736476847586,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,0.06829017608437268,0.04750592748946293,0.7593536476847585,20.552488952527018,80908.0,109.13618242118898,0.3499999691809923,0.3499999644211975,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.06829017608437268,0.1382901760843727,0.0017098239156273232,0.010913618242118898,1.027624447626351,0.5306151266011491,0.0022522290809327827,0.0022522290809327827
moderate,24,79,slack_oracle,17.0,0.20916133909975815,0.046617274896450005,0.8786965171203553,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,0.06661418546464154,0.04754311229879376,0.8068782651672304,20.500818503759668,80772.73779296875,110.92912869447922,0.3499999658552173,0.34999995944847695,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.06661418546464154,0.13661418546464155,0.0033858145353584668,0.011092912869447922,1.0250409251879833,0.5306151266011491,0.0023551097393690046,0.0023551097393690046
moderate,24,79,slack_oracle,18.0,0.20969621003635883,0.046605879988133495,0.9253080964612894,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,0.06469621003635884,0.04757932481235225,0.8544395808362895,20.44695600594777,80630.27734375,112.85395359761522,0.3499999613786847,0.3499999534394224,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.06469621003635884,0.13469621003635884,0.00530378996364117,0.011285395359761521,1.0223478002973885,0.5306151266011491,0.002452846364883382,0.002452846364883382
moderate,24,79,slack_oracle,19.0,0.2101151254286924,0.04659426562922583,0.9719081707816545,0.147545438957476,-0.0010202905273437451,0.069871552734375,0.07754543895747598,0.217545438957476,-0.08,0.08,0.06256968647121641,0.04761455615656957,0.9020366180472795,20.39096400829609,80480.73291015625,114.91490475208458,0.3499999558313448,0.3499999460568161,0.0,False,False,oracle_solution,0.0,False,0.5306151266011491,False,True,0.06256968647121641,0.13256968647121642,0.007430313528783594,0.011491490475208458,1.0195482004148047,0.5306151266011491,0.0025454389574759984,0.0025454389574759984
