tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,residual_gain,trajectory_csv,metrics_json,residual_surrogate
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,residual_horizon_nmpc_gain_1,0.052177267197258334,0.0887765497431238,0.041381774059229534,41.88881999122539,0.0,0.07476635514018691,55,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_002/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_002/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,residual_horizon_nmpc_gain_2,0.05760320131958934,0.1256140569135248,0.04056141135045786,41.42620114853273,0.0,0.0529595015576324,68,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_002/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_002/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,residual_horizon_nmpc_gain_0,0.035050801962031926,0.07746894545256486,0.048760398042876386,49.89390224735669,0.0,0.059190031152647975,21,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_003/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_003/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,residual_horizon_nmpc_gain_0.5,0.037619365228932854,0.0775735247364377,0.04804646294734782,39.19777695654172,0.0,0.028037383177570093,22,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_003/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_003/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,residual_horizon_nmpc_gain_1,0.03860335265658486,0.07758505474043914,0.047720270392778284,34.88965839122959,0.0,0.0,23,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_003/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_003/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,residual_horizon_nmpc_gain_2,0.0380024400262176,0.07759082299434833,0.047935599454641736,31.73673293553737,0.0,0.0,22,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_003/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_003/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,residual_horizon_nmpc_gain_0,0.06249973397212256,0.10199685312169682,0.03991582917156234,47.273310263558116,0.0,0.13395638629283488,104,0,False,False,alpha_corridor_violation,0.0,outputs/phase11_residual_mpc/moderate/scenario_004/gain_0/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_004/gain_0/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,residual_horizon_nmpc_gain_0.5,0.06631322971218755,0.10154952152204696,0.038858547941056955,36.464336563305274,0.0,0.1588785046728972,102,0,False,False,alpha_corridor_violation,0.5,outputs/phase11_residual_mpc/moderate/scenario_004/gain_0.5/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_004/gain_0.5/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,residual_horizon_nmpc_gain_1,0.07336710772568232,0.10524098812758079,0.03759486662224394,39.90417013185984,0.0,0.14018691588785046,177,0,False,False,alpha_corridor_violation,1.0,outputs/phase11_residual_mpc/moderate/scenario_004/gain_1/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_004/gain_1/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,residual_horizon_nmpc_gain_2,0.08452135123755795,0.13934618156156245,0.0362605736221551,41.63751325034881,0.0,0.09034267912772585,212,0,False,False,alpha_corridor_violation,2.0,outputs/phase11_residual_mpc/moderate/scenario_004/gain_2/trajectory.csv,outputs/phase11_residual_mpc/moderate/scenario_004/gain_2/metrics.json,outputs/phase11_residual_mpc/residual_surrogate.json
