time_s,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa,heating_proxy,alpha_ref_rad,theta_ref_rad,q_ref_radps,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,dynamic_pressure_limit_pa,heating_proxy_limit,dynamic_pressure_limit_exceeded,heating_proxy_limit_exceeded
91.5,58324.274475097656,4006.4931526819596,13.57820198205314,0.00020895277609059583,1677.0536626709825,929645319.8540826,0.2649344507184448,-0.07783817016601564,-0.0023870996093749985,0.19493445071844479,0.3349344507184448,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
92.0,58145.40625,3991.771023383624,13.528307963119177,0.0002149303502189778,1712.3754515652488,932493336.2537131,0.2642223891810669,-0.07903062499999998,-0.002382624511718723,0.19422238918106688,0.3342223891810669,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
92.5,57966.880798339844,3977.092509946549,13.478561760480225,0.00022106697715558395,1748.337461714165,935317404.1949484,0.26349764920642377,-0.08022079467773437,-0.0023779589843750393,0.19349764920642376,0.3334976492064238,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
93.0,57788.71240234375,3962.4586325442483,13.428966831554407,0.0002273660132160253,1784.9458011626743,938116980.7976322,0.26276049492862513,-0.08140858398437502,-0.0023731030273437537,0.19276049492862513,0.33276049492862514,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
93.5,57610.91534423828,3947.870409305223,13.379526626829191,0.0002338308400163267,1822.2064131819486,940891531.8661393,0.2620111904817807,-0.08259389770507812,-0.0023680566406250325,0.19201119048178067,0.3320111904817807,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
94.0,57433.50390625,3933.3288563310607,13.330244589922744,0.00024046486215726002,1860.1250659027482,943640532.2649536,0.26125000000000004,-0.08377664062500005,-0.002362819824218737,0.19125000000000003,0.33125000000000004,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
94.5,57256.49237060547,3918.834987714277,13.281124157644383,0.00024727150475845945,1898.7073417487336,946363466.2927266,0.26047718761739297,-0.08495671752929686,-0.0023573925781249505,0.19047718761739296,0.330477187617393,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
95.0,57079.89501953125,3904.3898155558845,13.232168760054128,0.00025425421083820457,1937.9586266755243,949059828.0544137,0.25969301746806916,-0.086134033203125,-0.0023517749023438117,0.18969301746806916,0.32969301746806917,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
95.5,56903.726135253906,3889.99434998271,13.183381820521381,0.0002614164385348156,1977.8840992217374,951729121.8310739,0.25889775368613827,-0.08730849243164067,-0.0023459667968750153,0.18889775368613826,0.32889775368613827,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
96.0,56728.0,3875.649599164461,13.134766755782778,0.00026876165816570494,2018.488719378866,954370862.4469396,0.25809166040571,-0.08848000000000002,-0.0023399682617187,0.18809166040571001,0.32809166040571003,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
96.5,56552.730895996094,3861.356569330537,13.086326975999148,0.00027629334912021873,2059.7772172872965,956984575.6333152,0.2572750017608941,-0.08964846069335937,-0.002333779296874977,0.18727500176089407,0.3272750017608941,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
97.0,56377.93310546875,3847.116264786609,13.038065884811717,0.0002840149965825252,2101.754081766394,959569798.3889122,0.25644804188580017,-0.090813779296875,-0.002327399902343763,0.18644804188580016,0.3264480418858002,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
97.5,56203.62091064453,3832.929687930953,12.989986879397451,0.00029193008808093147,2144.4235486870352,962126079.3361704,0.25561104491453795,-0.09197586059570313,-0.00232083007812503,0.18561104491453795,0.32561104491453796,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
98.0,56029.80859375,3818.7978392705595,12.942093350523658,0.0003000421098601691,2187.7895891956455,964652979.0731665,0.2547642749812171,-0.09313460937500002,-0.0023140698242187507,0.1847642749812171,0.3247642749812171,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
98.5,55856.51043701172,3804.721717437004,12.89438868260177,0.0003083545430733416,2231.855897799196,967150070.5206492,0.2539079962199474,-0.09428993041992188,-0.0023071191406249802,0.1839079962199474,0.3239079962199474,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
99.0,55683.74072265625,3790.7023192021034,12.846876253740414,0.0003168708597904247,2276.6258803213473,969616939.263801,0.2530424727648385,-0.095441728515625,-0.0022999780273437465,0.18304247276483848,0.3230424727648385,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
99.5,55511.513732910156,3776.7406394933505,12.7995594357977,0.00032559451882040446,2322.102641740354,972053183.8882754,0.25216796875,-0.09658990844726563,-0.002292646484374994,0.18216796875000002,0.32216796875000003,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
100.0,55339.84375,3762.837671409129,12.752441594432808,0.0003345289613443596,2368.2889739199436,974458416.3100734,0.25128474830954173,-0.097734375,-0.00228512451171875,0.18128474830954172,0.32128474830954173,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
100.5,55168.745056152344,3748.9944062337245,12.705526089156843,0.0003436776063570498,2415.1873432450348,976832262.0988483,0.2503930755775733,-0.09887503295898438,-0.0022774121093749877,0.18039307557757328,0.3203930755775733,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
101.0,54998.23193359375,3735.2118334521238,12.658816273383003,0.0003530438459148125,2462.7998781745414,979174360.7941778,0.2494932146882044,-0.10001178710937499,-0.002269509277343762,0.1794932146882044,0.3194932146882044,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
101.5,54828.31866455078,3721.4909407646123,12.612315494476045,0.000362631040187874,2511.128356724226,981484366.2143855,0.24858542977554474,-0.10114454223632814,-0.0022614160156250174,0.17858542977554473,0.3185854297755447,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
102.0,54659.01953125,3707.8327141011764,12.566027093801093,0.0003724425123154792,2560.174193893065,983761946.7574859,0.24766998497370402,-0.102273203125,-0.0022531323242187262,0.177669984973704,0.317669984973704,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
102.5,54490.34881591797,3694.2381376357025,12.519954406771761,0.0003824815430625681,2609.938429047087,986006785.6938077,0.2467471444167919,-0.10339767456054687,-0.0022446582031250273,0.1767471444167919,0.3167471444167919,-0.08,0.08,-0.35,0.35,-0.18,0.18,8500.0,250000000.0,False,True
