tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,control_dt_s,horizon_steps,planning_alpha_buffer_rad,scenario_count_requested,reference_duration_s,trajectory_csv,metrics_json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,fast_nmpc_0p5s,0.03460287902965475,0.07749091067937233,0.04913298177667858,48.18260812548559,0.0,0.0,21,0,False,False,alpha_corridor_violation,8.5,high,0.007490910679372326,0.0,10.5,0.0,False,0.03154498874191688,0.037503707979340106,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_003/fast_nmpc_0p5s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_003/fast_nmpc_0p5s/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,corridor_centered_nmpc,0.03393537932951087,0.07749091067244182,0.04970418278460357,47.72871090129434,0.0,0.0,21,0,False,False,alpha_corridor_violation,8.5,high,0.007490910672441814,0.0,10.5,0.0,False,0.03195889343361071,0.037657000008039176,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_003/corridor_centered_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_003/corridor_centered_nmpc/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,corridor_barrier_nmpc,0.03396210152307892,0.07749091066812105,0.04962324572816146,47.8043253687016,0.0,0.0,21,0,False,False,alpha_corridor_violation,8.5,high,0.007490910668121048,0.0,10.5,0.0,False,0.03269006670496174,0.039492250012699515,0.5,10,0.015,12,160.0,outputs/phase16_success_recovery/moderate/scenario_003/corridor_barrier_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_003/corridor_barrier_nmpc/metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,success_recovery_nmpc,0.033894608546295994,0.07749091066859187,0.04972108798035976,47.450472044598406,0.0,0.0,21,0,False,False,alpha_corridor_violation,8.5,high,0.007490910668591866,0.0,10.5,0.0,False,0.03263675049853996,0.0401489160140045,0.5,10,0.012,12,160.0,outputs/phase16_success_recovery/moderate/scenario_003/success_recovery_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_003/success_recovery_nmpc/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,nominal_nmpc_2s,0.06469816167298748,0.10181894866326827,0.03924160093222914,49.24925536706409,0.0,0.12149532710280374,103,0,False,False,alpha_corridor_violation,55.0,low,0.03181894866326826,0.0,51.5,0.0,False,0.03389000724555557,0.040410916961263865,2.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_004/nominal_nmpc_2s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_004/nominal_nmpc_2s/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,fast_nmpc_1s,0.062212125216554844,0.10203908450946886,0.040035254883719944,48.17745015848609,0.0,0.1059190031152648,104,0,False,False,alpha_corridor_violation,54.5,low,0.03203908450946885,0.0,52.0,0.0,False,0.03354861902836594,0.04045429197140038,1.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_004/fast_nmpc_1s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_004/fast_nmpc_1s/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,fast_nmpc_0p5s,0.0616137632542641,0.10219911863275213,0.04037786166982215,47.00282937999851,0.0,0.0,104,0,False,False,alpha_corridor_violation,54.5,low,0.03219911863275213,0.0,52.0,0.0,False,0.03307223753627198,0.03967683401424438,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_004/fast_nmpc_0p5s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_004/fast_nmpc_0p5s/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,corridor_centered_nmpc,0.06121457233021544,0.10216475685591717,0.04075402574760124,51.797993535907686,0.0,0.0,104,0,False,False,alpha_corridor_violation,54.5,low,0.03216475685591716,0.0,52.0,0.0,False,0.032651324914565245,0.038484583026729524,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_004/corridor_centered_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_004/corridor_centered_nmpc/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,corridor_barrier_nmpc,0.061247376461270056,0.10215705658048757,0.04070100400432505,51.344932394340425,0.0,0.0,104,0,False,False,alpha_corridor_violation,54.5,low,0.032157056580487564,0.0,52.0,0.0,False,0.033906637873381634,0.03998808399774134,0.5,10,0.015,12,160.0,outputs/phase16_success_recovery/moderate/scenario_004/corridor_barrier_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_004/corridor_barrier_nmpc/metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,success_recovery_nmpc,0.06122193340001683,0.10218819276860958,0.04076287722156022,51.87930485909649,0.0,0.0,104,0,False,False,alpha_corridor_violation,54.5,low,0.03218819276860957,0.0,52.0,0.0,False,0.033114234283109514,0.038660500023979694,0.5,10,0.012,12,160.0,outputs/phase16_success_recovery/moderate/scenario_004/success_recovery_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_004/success_recovery_nmpc/metrics.json
