controller,horizon_steps,control_frequency_hz,warm_start,sample_count,mean_solve_time_ms,median_solve_time_ms,p95_solve_time_ms,max_solve_time_ms,mean_nn_inference_time_ms,mean_total_loop_time_ms,median_total_loop_time_ms,p95_total_loop_time_ms,max_total_loop_time_ms,solver_failure_rate,budget_10hz_ms,budget_20hz_ms,budget_50hz_ms,meets_10hz_budget_p95,meets_20hz_budget_p95,meets_50hz_budget_p95,success_rate,performance_source
residual_corrected_nmpc,15,10.0,False,5,42.35589960590005,41.99345799861476,46.43873297609389,47.36220795894042,0.47419159673154354,84.65743320994079,84.69024999067187,88.0196166341193,88.5458750417456,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,15,20.0,False,5,41.7210748186335,43.02266601007432,43.79539982182905,43.83508302271366,0.49085839418694377,85.35904979798943,85.24691697675735,89.85317461192608,90.5972080072388,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_nmpc,15,50.0,False,5,39.762899989727885,40.120874997228384,40.70594999939203,40.71137501159683,0.47563299303874373,81.5208833781071,82.1732499753125,82.88295016391203,83.04366696393117,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,5,10.0,False,5,17.368800390977412,17.36770902061835,19.99436718178913,20.419958978891373,0.2679247874766588,34.31465819012374,33.50037499330938,38.81064937449992,39.74466596264392,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,5,20.0,False,5,16.57577499281615,16.763499996159226,17.370283172931522,17.443457967601717,0.21224998636171222,32.93514997931197,32.76729094795883,33.93078336957842,34.041999955661595,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,5,50.0,False,5,16.21909160166979,16.030750004574656,16.912866395432502,17.09133299300447,0.3104166011326015,32.42461659247056,32.218666980043054,33.064416609704494,33.12237502541393,0.0,100.0,50.0,20.0,True,True,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,10,10.0,False,5,33.08354978216812,34.60449998965487,37.321657955180854,37.51083294628188,0.3770750015974045,62.15385820250958,63.99125000461936,66.28429143456742,66.34570803726092,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,10,20.0,False,5,29.437566793058068,29.326791991479695,32.82932478468865,33.43458299059421,0.3168750088661909,58.2394081982784,58.64875001134351,61.97920822305605,62.802250031381845,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,10,50.0,False,5,28.32953359466046,28.917083982378244,29.51214979402721,29.6348329866305,0.3660251968540251,57.505724823568016,57.82829102827236,58.96709143416956,59.21008303994313,0.0,100.0,50.0,20.0,True,False,False,0.1,phase12_learning_augmented_mpc
residual_corrected_tightened_nmpc,15,10.0,False,5,51.35129177942872,53.21095895487815,58.73105820501223,59.32545801624656,0.4680828074924648,93.8789582112804,97.09983301581815,100.87512520840392,101.15166701143607,0.0,100.0,50.0,20.0,False,False,False,0.1,phase12_learning_augmented_mpc
