tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json
moderate,29,84,1.0696294716783745,1.1200610988195503,1.099715581772791,1.1535742191160263,0.07960960432354232,0.0,0.0019463869562487603,0.0004242783563313396,0.000848639165457846,-0.024806855750437326,0.04086951489366636,-0.004661681111193499,-420.93059440356905,gain_scheduled_lqr,0.09329080905802606,0.17701765545605777,0.03426352639931956,55.81,0.9906542056074766,1.0,217,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_029/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_029/gain_scheduled_lqr/metrics.json
moderate,29,84,1.0696294716783745,1.1200610988195503,1.099715581772791,1.1535742191160263,0.07960960432354232,0.0,0.0019463869562487603,0.0004242783563313396,0.000848639165457846,-0.024806855750437326,0.04086951489366636,-0.004661681111193499,-420.93059440356905,nominal_nmpc,0.061400852976229416,0.10057049457471784,0.03881686977298415,45.69701630928532,0.0,0.11214953271028037,94,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/moderate/scenario_029/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/moderate/scenario_029/nominal_nmpc/metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,pid,0.05754669566169105,0.13486154231919315,0.05170080448492326,50.917276525846674,0.7227414330218068,0.5295950155763239,65,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/stress/scenario_000/pid/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_000/pid/metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,gain_scheduled_lqr,0.05861301740323539,0.13486154231919315,0.051501864461666325,55.307500000000005,0.9813084112149533,0.9906542056074766,66,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/stress/scenario_000/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_000/gain_scheduled_lqr/metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,nominal_nmpc,0.05769336142411643,0.13486154472275477,0.05185338395735019,50.36383244972723,0.0,0.09034267912772585,65,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/stress/scenario_000/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_000/nominal_nmpc/metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,pid,0.060193518552125916,0.08862280660262303,0.03986821818532453,38.32703783653654,0.2585669781931464,0.102803738317757,84,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/stress/scenario_001/pid/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_001/pid/metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,gain_scheduled_lqr,0.07351686754048649,0.14553328544559288,0.03828768538199174,55.4825,0.9844236760124611,0.9937694704049844,160,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/stress/scenario_001/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_001/gain_scheduled_lqr/metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,nominal_nmpc,0.051706767677450804,0.08259002238738083,0.04177553123231284,49.101964485477794,0.0,0.08722741433021806,55,0,False,False,alpha_corridor_violation,outputs/phase5_monte_carlo/stress/scenario_001/nominal_nmpc/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_001/nominal_nmpc/metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,pid,0.05387313908804051,0.08140723943401865,0.05921682624157508,55.4825,0.9844236760124611,0.9813084112149533,90,0,False,True,unstable_response,outputs/phase5_monte_carlo/stress/scenario_002/pid/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_002/pid/metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,gain_scheduled_lqr,0.05387313908804051,0.08140723943401865,0.05921682624157508,55.4825,0.9844236760124611,0.9937694704049844,90,0,False,True,unstable_response,outputs/phase5_monte_carlo/stress/scenario_002/gain_scheduled_lqr/trajectory.csv,outputs/phase5_monte_carlo/stress/scenario_002/gain_scheduled_lqr/metrics.json
