tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
moderate,11,66,slack_oracle,20.0,0.23563571385717338,0.05216619815692939,1.1268012174192228,0.1501783264746228,-0.0010663745117187456,0.068828125,0.08017832647462278,0.2201783264746228,-0.08,0.08,0.0854573873825506,0.053232572668648136,1.0579730924192228,20.332902889650182,80324.21875,117.11656459345757,0.3500000099909977,0.35000000999130465,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,21.0,0.23592249821861702,0.05215298681589925,1.1789608109779828,0.1528935185185185,-0.0011116967773437542,0.06773899414062501,0.0828935185185185,0.22289351851851852,-0.08,0.08,0.08302897970009851,0.053264683593243004,1.1112218168373578,20.27283107707244,80160.84912109375,119.46386215908987,0.3500000099912208,0.35000000998358705,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,22.0,0.23614066152678526,0.052139498911700354,1.2311070546733076,0.15568587105624143,-0.001156257324218743,0.066604921875,0.08568587105624142,0.22568587105624144,-0.08,0.08,0.08045479047054382,0.053295756235919096,1.1645021327983076,20.210805232059418,79990.73828125,121.96208552875365,0.35000000998567304,0.35000000996186675,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,23.0,0.23630349954286836,0.05212571916161959,1.2832396643432125,0.15855024005486967,-0.0012000561523437536,0.065426669921875,0.08855024005486967,0.22855024005486968,-0.08,0.08,0.07775325948799869,0.05332577531396334,1.2178129944213374,20.146880410522424,79814.00048828125,124.61689497745068,0.350000009968372,0.3500000098717461,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,24.0,0.23642166297823575,0.052111619998771355,1.335358334392717,0.16148148148148148,-0.0012430932617187584,0.064205,0.09148148148148147,0.23148148148148148,-0.08,0.08,0.07494018149675427,0.053354713260490114,1.2711533343927168,20.08111020126924,79630.75,127.43433688679012,0.35000000989815006,0.35000000903110245,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,25.0,0.23650367905006184,0.05209718358588016,1.3874627365181158,0.164474451303155,-0.0012853686523437435,0.062940673828125,0.09447445130315499,0.234474451303155,-0.08,0.08,0.07202922774690684,0.053382552238223906,1.3245220626899907,20.01354684669993,79441.10107421875,130.42085845175828,0.3500000092680311,0.34999999148616495,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,26.0,0.23655637452296985,0.052082390996760396,1.4395525240285736,0.16752400548696844,-0.0013268823242187505,0.061634453125,0.09752400548696843,0.23752400548696845,-0.08,0.08,0.0690323690360014,0.053409273320979146,1.3779180709035737,19.944241348659794,79245.16796875,133.58332321241127,0.3499999963452212,0.3499999888071967,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,27.0,0.23658521053377832,0.0520672222180488,1.491627330759178,0.170625,-0.0013676342773437516,0.060287099609375,0.10062499999999999,0.240625,-0.08,0.08,0.06596021053377832,0.05343485649539255,1.4313402311498031,19.87324356180684,79043.06494140625,136.92902743426504,0.34999999086703026,0.34999998530754833,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,28.0,0.236594551291465,0.0520516561385944,1.543686769979141,0.17377229080932782,-0.001407624511718747,0.058899375000000004,0.10377229080932782,0.24377229080932783,-0.08,0.08,0.06282226048213718,0.05345928065031315,1.484787394979141,19.800602276399946,78834.90625,140.46571735643462,0.3499999868267272,0.34999998056389925,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,29.0,0.2365878797005084,0.05203567052797568,1.5957304332839837,0.17696073388203018,-0.0014468530273437502,0.057472041015625,0.10696073388203017,0.2469607338820302,-0.08,0.08,0.05962714581847822,0.05348252355531943,1.5382583922683586,19.726365292062432,78620.80615234375,144.20160732253274,0.34999998227527385,0.34999997380121106,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,30.0,0.2365679703797354,0.05201924200564236,1.6477578894613554,0.1801851851851852,-0.0014853198242187476,0.056005859375,0.11018518518518519,0.2501851851851852,-0.08,0.08,0.0563827851945502,0.05350456182986111,1.5917520300863555,19.65057948379968,78400.87890625,148.14539880568097,0.3499999761168256,0.3499999634880925,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,31.0,0.2365370284823871,0.052002346002018286,1.6997686833218755,0.1834405006858711,-0.001523024902343753,0.054501591796875,0.11344050068587108,0.2534405006858711,-0.08,0.08,0.053096527796516024,0.05352537090436204,1.6452670915250005,19.573290861329905,78175.23876953125,152.3063003355444,0.3499999669390084,0.34999993894873827,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,32.0,0.23649680106413118,0.051984956712574366,1.751762334487466,0.186721536351166,-0.0015599682617187527,0.05295999999999999,0.116721536351166,0.256721536351166,-0.08,0.08,0.04977526471296517,0.05354492497429312,1.698802334487466,19.494544622611564,77944.0,156.69404833189384,0.34999994659733363,0.34848632427260906,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,33.0,0.2364486706422307,0.05196706235825766,1.8037383407670262,0.19002314814814816,-0.0015961499023437464,0.051381845703125005,0.12002314814814816,0.2600231481481482,-0.08,0.08,0.04642552249408255,0.05356321226060141,1.7523564950639012,19.414385202309198,77707.27685546875,161.3189288457153,0.34889993530847546,0.32695836967581804,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,34.0,0.23639379669556285,0.051948856087400706,1.855696254374416,0.19334019204389574,-0.001631569824218762,0.049767890625000005,0.12334019204389574,0.26334019204389575,-0.08,0.08,0.043053604651667104,0.05358042591161947,1.805928363749416,19.33285631582411,77465.18359375,166.1918002052219,0.3329541015975872,0.2923463863860788,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,35.0,0.2363333621018098,0.05193061834339709,1.9076359043084308,0.19666752400548698,-0.0016662280273437372,0.048118896484375,0.12666752400548698,0.266667524005487,-0.08,0.08,0.03966583809632282,0.05359684637074083,1.8595170078240557,19.25000099942194,77217.83447265625,171.32411656020474,0.3034428130695682,0.25221445760853645,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,36.0,0.23626855072077238,0.05191256360208662,1.9595573811368758,0.2,-0.001700124511718755,0.046435625,0.13,0.27,-0.08,0.08,0.03626855072077237,0.05361268811380537,1.9131217561368759,19.165861646911356,76965.34375,176.72795231389205,0.2662130706190998,0.21254732035789012,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,37.0,0.23620045659100528,0.05189479769344546,2.0114609376686965,0.20333247599451304,-0.001733259277343746,0.044718837890624995,0.13333247599451303,0.27333247599451305,-0.08,0.08,0.032867980596492236,0.053628056970789206,1.9667420997780716,19.080480043263627,76707.82568359375,182.4160274268472,0.22721197361617532,0.17812062293776165,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,38.0,0.23612999938498405,0.05187731349016876,2.063346875283243,0.20665980795610428,-0.0017656323242187522,0.042969296875,0.13665980795610427,0.2766598079561043,-0.08,0.08,0.02947019142887977,0.05364294581438751,2.020377578408243,18.99389739550893,76445.39453125,188.40173357233184,0.19153527999884404,0.15272787110824,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,39.0,0.23605785880614577,0.051859994908779655,2.1152154324471115,0.20997685185185183,-0.0017972436523437524,0.041187763671875,0.13997685185185182,0.27997685185185184,-0.08,0.08,0.02608100695429394,0.05365723856112341,2.0740276687752366,18.90615436120024,76178.16455078125,194.69916111696458,0.16333234775234187,0.13921769411725105,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,40.0,0.2359844268972986,0.05184262335724755,2.1670666786912047,0.21327846364883404,-0.0018280932617187468,0.039375,0.14327846364883404,0.283278463648834,-0.08,0.08,0.02270596324846455,0.053670716618966295,2.1276916786912046,18.817291074697604,75906.25,201.32312689437006,0.14580724205575932,0.13921769411725105,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
