controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
gain_scheduled_lqr,114.0,-0.01684958084518627,-0.004190425622270024,0.010346037082685836,0.22408809166040572,-0.0019971948242187842,-0.127885234375,0.1540880916604057,0.2940880916604057,-0.08,0.08,0.014340622615303555,0.014340622615303555,-0.15195640509062142,-0.35,0.35,-0.18,0.18,False,False,True,-0.240937672505592,-0.0021932307980512397,0.13823127145768582,2047.654316788586,0.02025713689870192,0.7808571667155672,50817.21484375,3401.3687582863445,11.527405702550928,0.0006825919650331099,3948.5588288974677
gain_scheduled_lqr,114.5,-0.01706863198506396,-0.004149399610396298,0.008261074885459418,0.22306699321468826,-0.0019841503906249947,-0.1288805944824219,0.15306699321468825,0.29306699321468827,-0.08,0.08,0.01345735917242119,0.01345735917242119,-0.0017665268857647298,-0.35,0.35,-0.18,0.18,False,False,True,-0.24013562519975223,-0.0021652492197713038,0.1371416693678813,2107.7324651488652,0.020508050756707284,0.7829630520005345,50667.91082763672,3389.5927045758044,11.487496078413374,0.0006988534269691646,4014.681863070284
gain_scheduled_lqr,115.0,-0.01724515292257778,-0.004107185038739925,0.006196923903210762,0.22204510236664166,-0.0019709155273437418,-0.12986938476562498,0.15204510236664165,0.29204510236664166,-0.08,0.08,0.012817867841796948,0.012817867841796948,-0.0012789826612484845,-0.35,0.35,-0.18,0.18,False,False,True,-0.23929025528921943,-0.002136269511396183,0.13606630866883573,2162.0617837241507,0.020692830097534615,0.7850570033276781,50519.59228515625,3377.9043726223863,11.447883747617162,0.0007153911074517271,4081.3913818770898
gain_scheduled_lqr,115.5,-0.017383038663344886,-0.004063896005926421,0.004154149819096245,0.22102268325037566,-0.0019574902343750256,-0.13085151000976564,0.15102268325037566,0.29102268325037567,-0.08,0.08,0.012405520667668424,0.012405520667668424,-0.000824694348257049,-0.35,0.35,-0.18,0.18,False,False,True,-0.23840572191372056,-0.0021064057715513953,0.13500565982886187,2210.783122188444,0.0208159777015808,0.7871387747711145,50372.273498535156,3366.304705364795,11.408571905827854,0.0007322046935697844,4148.674491706814
gain_scheduled_lqr,116.0,-0.017485831841769744,-0.004019643858169018,0.0021332619603482883,0.22000000000000003,-0.001943874511718735,-0.131826875,0.15000000000000002,0.29000000000000004,-0.08,0.08,0.012204308711944112,0.012204308711944112,-0.0004024239114486239,-0.35,0.35,-0.18,0.18,False,False,True,-0.23748583184176977,-0.0020757693464502833,0.1339601369603483,2254.0395990529787,0.020881786715065714,0.7892081199700104,50225.96875,3354.794644306886,11.369563743848234,0.0007492936190483113,4216.51763038467
gain_scheduled_lqr,116.5,-0.017556758110928414,-0.00397453713796747,0.00013471468682172425,0.21897731674962437,-0.0019300683593749812,-0.13279538452148437,0.14897731674962436,0.28897731674962435,-0.08,0.08,0.012198793512062767,0.012198793512062767,-1.103039976269038e-05,-0.35,0.35,-0.18,0.18,False,False,True,-0.23653407486055278,-0.002044468778592489,0.1329300992083061,2291.977835908229,0.02089436092599841,0.7912647921464034,50080.692321777344,3343.3751295276165,11.330862447652041,0.0007666570548910943,4284.90656078236
gain_scheduled_lqr,117.0,-0.01759875781588541,-0.003928681508655708,-0.0018410911887276594,0.2179548976333584,-0.001916071777343764,-0.133756943359375,0.1479548976333584,0.2879548976333584,-0.08,0.08,0.012374067514860587,0.012374067514860587,0.00035054800559564114,-0.35,0.35,-0.18,0.18,False,False,True,-0.2355536554492438,-0.0020126097313119436,0.13191585217064733,2324.7490060764994,0.020857631985723532,0.7933085441232226,49936.45849609375,3332.047099690892,11.292471198417331,0.0007842939000328216,4353.826364949795
gain_scheduled_lqr,117.5,-0.017614514327035362,-0.003882179658470121,-0.003793806937478039,0.2169330067853118,-0.0019018847656250282,-0.13471145629882814,0.1469330067853118,0.2869330067853118,-0.08,0.08,0.01271572251861719,0.01271572251861719,0.0006833100075132048,-0.35,0.35,-0.18,0.18,False,False,True,-0.23454752111234717,-0.0019802948928450926,0.13091764936135009,2352.5097001141667,0.020775373880200457,0.7953391283425101,49793.28155517578,3320.8114920552794,11.2543931725594,0.0008022027720189218,4423.261438788747
gain_scheduled_lqr,118.0,-0.01760647937256088,-0.0038351311877645577,-0.005723134399159811,0.2159119083395943,-0.001887507324218718,-0.13565882812500002,0.1459119083395943,0.28591190833959435,-0.08,0.08,0.013209825215372617,0.013209825215372617,0.0009882053935108548,-0.35,0.35,-0.18,0.18,False,False,True,-0.2335183877121552,-0.0019476238635458398,0.1299356937258402,2375.4226111825246,0.02065121493418701,0.797356296883841,49651.17578125,3309.669242483622,11.216631541763368,0.0008203819977324851,4493.195487288665
gain_scheduled_lqr,118.5,-0.017576895675479213,-0.0037876324829405612,-0.007628824406925463,0.2148918664303156,-0.0018729394531249999,-0.13659896362304685,0.1448918664303156,0.2848918664303156,-0.08,0.08,0.013842898980473528,0.013842898980473528,0.0012661475302018221,-0.35,0.35,-0.18,0.18,False,False,True,-0.2324687621057948,-0.0019146930298155613,0.12897013921612138,2393.657043996142,0.02048864761259171,0.7993598014829447,49510.15545654297,3298.6212854525365,11.179189473016363,0.0008388296041884266,4563.6115203443505
