tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s
stress,2,10057,slack_oracle,5.0,0.1675941137529857,0.0466476834286629,0.2904879778196156,0.1222076474622771,-0.0002951342773437,0.079254150390625,0.052207647462277,0.1922076474622771,-0.08,0.08,0.0453864662907086,0.0469428177060067,0.2112338274289906,0.3483183071830545,0.3500000098764342,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.04538646629070865,0.1153864662907087,0.024613533709291396,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,6.0,0.1763661924430262,0.046639112548488,0.3371314048905927,0.1231481481481481,-0.0003518823242187,0.078930546875,0.0531481481481481,0.1931481481481481,-0.08,0.08,0.0532180442948781,0.0469909948727067,0.2582008580155927,0.3495044567280639,0.3500000098656851,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.053218044294878114,0.1232180442948781,0.016781955705121893,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,7.0,0.1833981239624847,0.046630190271519,0.3837660789165238,0.1242429698216735,-0.0004078686523437,0.078550576171875,0.0542429698216735,0.1942429698216735,-0.08,0.08,0.0591551541408112,0.0470380589238627,0.3052155027446488,0.3498539835088863,0.3500000098490395,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.0591551541408112,0.1291551541408112,0.010844845859188795,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,8.0,0.1890332575273779,0.046620967703584,0.4303916758966722,0.1254869684499314,-0.0004630932617187,0.078115,0.0554869684499313,0.1954869684499314,-0.08,0.08,0.0635462890774465,0.0470840609653027,0.3522766758966723,0.3499569797623941,0.350000009821014,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06354628907744655,0.1335462890774466,0.006453710922553507,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,9.0,0.1935471769211293,0.0466114809304701,0.4770079146572283,0.126875,-0.0005175561523437,0.077624580078125,0.0568749999999999,0.196875,-0.08,0.08,0.0666721769211293,0.0471290370828139,0.3993833345791033,0.3499873300048327,0.3500000097671606,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06667217692112934,0.1366721769211294,0.0033278230788706953,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,10.0,0.1971610717600187,0.0466017557791895,0.5236145446481778,0.1284019204389574,-0.0005712573242187,0.077080078125,0.0584019204389574,0.1984019204389575,-0.08,0.08,0.0687591513210612,0.0471730131034083,0.4465344665231778,0.3499962733777459,0.350000009636745,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06875915132106125,0.1387591513210613,0.001240848678938783,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,11.0,0.2000524712096489,0.0465918103604023,0.5702113371060246,0.130062585733882,-0.0006241967773437,0.076482255859375,0.060062585733882,0.200062585733882,-0.08,0.08,0.0699898854757669,0.0472160071377461,0.4937290812466495,0.3499989086603849,0.3500000091331361,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.0699898854757669,0.1399898854757669,1.011452423310688e-05,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,12.0,0.2023638598208458,0.0465816567179272,0.6167980782235457,0.1318518518518518,-0.0006763745117187,0.075831875,0.0618518518518518,0.2018518518518518,-0.08,0.08,0.0705120079689939,0.0472580312296459,0.5409662032235457,0.3499996848530248,0.3500000058646564,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,True,True,0.07051200796899398,0.140512007968994,-0.0005120079689939772,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,13.0,0.2042095931778789,0.046571302026426,0.6633745637133712,0.1337645747599451,-0.0007277905273437,0.075129697265625,0.0637645747599451,0.2037645747599451,-0.08,0.08,0.0704450184179338,0.0472990925537698,0.5882448664477462,0.3499999112710488,0.3499999969300052,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,True,True,0.0704450184179338,0.1404450184179338,-0.00044501841793379016,0.0,0.0,0.7586107576985939
stress,2,10057,slack_oracle,14.0,0.2056814487975741,0.0465607495065104,0.7099405944164147,0.13579561042524,-0.0007784448242187,0.074376484375,0.06579561042524,0.20579561042524,-0.08,0.08,0.069885838372334,0.0473391943307291,0.6355641100414147,0.3499999716885843,0.3499999957629446,0.0,False,False,oracle_solution,0.0,False,0.7586107576985939,False,True,0.06988583837233411,0.1398858383723341,0.000114161627665893,0.0,0.0,0.7586107576985939
