controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
nominal_nmpc,40.0,0.20991040068217415,0.04616308741593309,1.9336080973264416,0.21327846364883404,-0.0018280932617187468,0.039375,0.14327846364883404,0.283278463648834,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000663461683,-0.35,0.0,False,False,False,-0.003368062966659896,0.04799118067765184,1.8942330973264416,-68.79841128189157,-0.013348878403368583,0.45845062964685884,75906.25,5552.380789624953,18.817291074697604,1.3060661593256721e-05,201.32312689437006
nominal_nmpc,42.0,0.20987779566149684,0.046157586027501626,2.0259287699513724,0.21981481481481485,-0.0018875073242187387,0.03565882812499999,0.14981481481481485,0.28981481481481486,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000738961484,-0.35,0.0,False,False,False,-0.009937019153318016,0.048045093351720365,1.9902699418263723,-69.03240813642203,-0.01250652386146895,0.46461022599553314,75348.82421875,5498.99435024233,18.63636181077146,1.4260668713275447e-05,215.61374469022599
nominal_nmpc,44.0,0.20984787821797393,0.04615206585642412,2.1182384210346634,0.22622770919067217,-0.0019438745117187697,0.03182687499999999,0.15622770919067216,0.2962277091906722,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000079022901,-0.35,0.0,False,False,False,-0.01637983097269824,0.04809594036814289,2.0864115460346633,-68.95424640165065,-0.011639736455319023,0.47097863061175976,74774.03125,5444.424260097118,18.451421096302866,1.561363341497203e-05,231.4077522634643
nominal_nmpc,46.0,0.2098196833934959,0.04614655194961621,2.2105370380342997,0.23247599451303155,-0.0019971948242187704,0.027885234375000012,0.16247599451303155,0.30247599451303153,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000077795151,-0.35,0.0,False,False,False,-0.022656311119535644,0.04814374677383498,2.1826518036593,-68.47943459954597,-0.010749236350541654,0.4775487992580159,74182.78515625,5388.760369997873,18.26277344009299,1.713936947299191e-05,248.8528325930774
nominal_nmpc,48.0,0.20979263597192813,0.046141076091128774,2.3028246652463333,0.23851851851851852,-0.0020474682617187406,0.02384,0.1685185185185185,0.3085185185185185,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.350000007632371,-0.35,0.0,False,False,False,-0.028725882546590392,0.048188544352847515,2.2789846652463335,-67.51006634692732,-0.00983588946125001,0.48431358350425724,73576.0,5332.090636822434,18.070716932318835,1.8860355720212545e-05,268.111183748674
nominal_nmpc,50.0,0.20976642362836,0.04613567788092538,2.395101418356183,0.2443141289437586,-0.002094694824218736,0.019697265625,0.17431412894375858,0.3143141289437586,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000806015186,-0.35,0.0,False,False,False,-0.03454770531539858,0.04823037270514412,2.375404152731183,-65.68724809118427,-0.008867512308670368,0.4916039796605237,72954.58984375,5274.501269499071,17.875543739270487,2.0802067240814792e-05,289.3605375718535
nominal_nmpc,52.0,0.2097409341794782,0.04613042561566501,2.4873675209508512,0.24982167352537724,-0.0021388745117187358,0.015463124999999994,0.17982167352537723,0.31982167352537727,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000921118407,-0.35,0.0,False,False,False,-0.040080739345899036,0.048269300127383744,2.471904395950851,-62.923651737781654,-0.007858033825313318,0.4992811187306089,72319.46875,5216.076857588573,17.677540539122155,2.2993341584477255e-05,312.79518523949486
nominal_nmpc,54.0,0.2097162118911951,0.046125394562643175,2.579623340186417,0.255,-0.0021800073242187745,0.011143671874999983,0.185,0.325,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000093928622,-0.35,0.0,False,False,False,-0.0452837881088049,0.04830540188686195,2.568479668311417,-59.184754938890464,-0.0068272894517421995,0.507146365382941,71671.55078125,5156.900485179787,17.47698890792972,2.546678177724756e-05,338.62699188921204
nominal_nmpc,56.0,0.20969240941045214,0.04612066273614827,2.671869396505411,0.2598079561042524,-0.002218093261718762,0.006745000000000015,0.18980795610425238,0.3298079561042524,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000938790904,-0.35,0.0,False,False,False,-0.05011554669380025,0.04833875599786703,2.665124396505411,-54.28391796923448,-0.005776475699238656,0.5151916030243355,71011.75,5097.053832298304,17.27416566330976,2.8259197485096694e-05,367.08637862922205
nominal_nmpc,58.0,0.2096697642228858,0.04611632306600031,2.764106381299764,0.26420438957475995,-0.00225313232421874,0.0022732031250000118,0.19420438957475994,0.33420438957475995,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000938903253,-0.35,0.0,False,False,False,-0.054534625351874144,0.04836945539021905,2.761833178174764,-48.00798899955322,-0.004706833974157956,0.5234084953654483,70340.98046875,5036.617265627709,17.06934317189833,3.141208509002913e-05,398.42324598469344
nominal_nmpc,60.0,0.20964859443091974,0.04611248551464395,2.856335188860295,0.26814814814814814,-0.0022851245117187363,-0.002265625000000007,0.19814814814814813,0.33814814814814814,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000093926385,-0.35,0.0,False,False,False,-0.0584995537172284,0.048397610026362683,2.858600813860295,-40.11455673514931,-0.003619650287802749,0.5317884724430973,69660.15625,4975.6699200272205,16.86278962561822,3.4972146629645806e-05,432.9078081788881
nominal_nmpc,62.0,0.20962929964858773,0.0461092794124562,2.9485569527791315,0.27159807956104254,-0.002314069824218737,-0.006865390625000009,0.20159807956104253,0.34159807956104254,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000939421555,-0.35,0.0,False,False,False,-0.06196877991245481,0.048423349236674934,2.9554223434041313,-30.329148629538295,-0.002516256590514618,0.5403227182524204,68970.19140625,4914.289772078365,16.654769290932272,3.899184648931545e-05,470.83130266100625
nominal_nmpc,64.0,0.20961236554896284,0.04610685601538027,3.040773087245682,0.2745130315500686,-0.0023399682617187556,-0.01152000000000003,0.2045130315500686,0.3445130315500686,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000938690146,-0.35,0.0,False,False,False,-0.06490066600110578,0.048446824277099024,3.052293087245682,-18.34242933576024,-0.0013980331924058134,0.5490021599047784,68272.0,4852.553706691728,16.445542734576904,4.353000337862516e-05,512.5065340509829
nominal_nmpc,66.0,0.2095983711238509,0.0461053912845355,3.132985333680572,0.2768518518518519,-0.0023628198242187787,-0.016223359374999982,0.2068518518518519,0.3468518518518519,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000935745545,-0.35,0.0,False,False,False,-0.067253480728001,0.04846821110875428,3.1492086930555723,-3.807470297675189,-0.0002664119267927617,0.55781745823853,67566.49609375,4790.537577641742,16.23536702871751,4.865241342557137e-05,558.2682062827901
nominal_nmpc,68.0,0.2095879980444642,0.04610508888169401,3.2251958131455387,0.27857338820301786,-0.002382624511718723,-0.020969374999999985,0.20857338820301785,0.34857338820301786,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000927131186,-0.35,0.0,False,False,False,-0.06898539015855365,0.048487713393412735,3.2461651881455387,13.662820639776992,0.0008771201661234435,0.5667589998190704,66854.59375,4728.316262764509,16.02449593801654,5.443249813755259e-05,608.4729913348916
nominal_nmpc,70.0,0.20958204171319147,0.04610618336731605,3.3174070849478654,0.27963648834019206,-0.0023993823242187406,-0.025751953125000004,0.20963648834019205,0.34963648834019206,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.3500000090187094,-0.35,0.0,False,False,False,-0.07005444662700058,0.04850556569153479,3.3431590380728653,34.498001119818106,0.00203101678327873,0.5758168902722643,66137.20703125,4665.963714444511,15.813180090735505,6.0951968463841125e-05,663.4992777201277
nominal_nmpc,72.0,0.20958142371330826,0.046108943579068334,3.4096222118226147,0.28,-0.002413093261718735,-0.030565000000000023,0.21000000000000002,0.35000000000000003,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000850781504,-0.35,0.0,False,False,False,-0.07041857628669176,0.04852203684078707,3.440187211822615,59.17199822745823,0.0031936680347479374,0.5849809489018909,65415.25,4603.553005925993,15.60166713568647,6.83014932106123e-05,723.7465370888232
nominal_nmpc,74.0,0.20958720542302497,0.04611367615830604,3.5018448320213222,0.27981686701728026,-0.0024237573242187754,-0.03540242187500002,0.20981686701728025,0.34981686701728026,-0.08,0.08,-0.35,0.35,-0.18,0.18,-0.35000000510237605,-0.35,0.0,False,False,False,-0.07022966159425528,0.04853743348252482,3.5372472538963224,88.20446323075461,0.0043633959328402624,0.5942407045472012,64689.63671875,4541.156373909807,15.390201886594888,7.658135657579063e-05,789.6342431406592
