tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,raw_applied_flap_gap_mean_rad,raw_applied_flap_gap_max_rad,safety_applied_flap_gap_mean_rad,safety_applied_flap_gap_max_rad,online_minus_oracle_alpha_miss_rad,trajectory_csv,metrics_json
moderate,10,65,0.8642174456390412,1.005466653261876,0.9499434253485177,0.8914714093255712,0.32960311763802463,0.5,0.0008365525317918986,6.46762207459785e-05,0.00043271742188083696,-0.04968044093642936,0.042852932412735696,-0.01897115270827847,2221.850917262168,ridge_no_safety,0.03858305393180377,0.05718906203739868,0.045526239196823845,6.638232712475547,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.007262766732541489,0.07305123854055659,0.007262766732541489,0.07305123854055659,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_010/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_010/metrics.json
moderate,11,66,1.1271201633807792,1.057845439337298,0.8291739104917131,1.0497015221724948,0.165381683907133,1.0,0.00030848479803221776,0.0006562873235056894,0.001380134036191736,-0.02273632069936974,0.05238554387091182,0.0011889161663444536,-1809.8046884581565,ridge_no_safety,0.06597038640897694,0.09327805028875844,0.05169679593644851,13.251966522044029,0.0,0.037037037037037035,36,0,False,False,alpha_corridor_violation,5.5,high,0.02327805028875843,0.0,18.0,0.0,False,0.0,0.0,True,0.02327805028875843,0.0,False,False,0.02588333582976418,0.0,0.10847417804196659,0.32131302234633285,0.01721467257286491,0.32131302234633285,-0.002605285541005753,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_011/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_011/metrics.json
moderate,12,67,0.9742994499706756,0.8880814906600227,1.005594014324681,0.9188970487207432,0.2093129332072963,1.0,0.0009248828062737953,0.0005329510920348585,0.00026554965141795784,-0.022633174516965053,0.04101814378974161,-0.019519453129244125,1586.2498674008762,ridge_no_safety,0.032544735453497065,0.05033951292685168,0.04319380468151124,3.317487367755545,0.0,0.0,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.018770030563065653,0.05733200858665474,0.018770030563065653,0.05733200858665474,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_012/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_012/metrics.json
moderate,13,68,0.9953100174539699,1.1044978823659257,1.0694089087940948,1.0504963097063043,0.34153615576448204,1.0,0.0003907120550084717,0.0007890702151280241,0.0018365108228233394,-0.04466830271818796,0.03982358572394496,0.009962517695321185,2230.4093558581844,ridge_no_safety,0.02895922059045083,0.04466830271818796,0.04250795919050573,2.6706160844351654,0.0,0.012345679012345678,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.031944722043382924,0.1543241920486936,0.031944722043382924,0.1543241920486936,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_013/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_013/metrics.json
moderate,14,69,1.0241117125647023,1.0080556107458336,1.1459846635147866,1.0939041651242745,0.16680469402583797,1.0,0.0016339043283467127,0.0006561236469276164,2.535331373743066e-05,-0.02964578879090854,0.052276271674726246,0.00823710896096232,2310.546642572015,ridge_no_safety,0.07519511961171024,0.09871521011275139,0.05489718029995804,13.482450483922275,0.0,0.037037037037037035,46,0,False,False,alpha_corridor_violation,5.5,high,0.028715210112751383,0.0,23.0,0.0,False,0.0,0.0,False,0.028715210112751383,0.0,False,False,0.02502396886424313,0.0,0.2224558599927689,0.3152232067402515,0.013505871133025966,0.3152232067402515,0.0036912412485082535,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_014/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_014/metrics.json
moderate,15,70,0.9642204535645428,1.0671417552736013,0.9288757304983914,1.1860895825578432,0.25912132182742664,0.5,0.0006226568047982962,4.374910828114309e-06,0.002352794545105728,-0.04300495120735941,0.03685923387217385,-0.00622084602307651,-1648.6330462802107,ridge_no_safety,0.026225305697325726,0.056854687533725856,0.03649025766237451,7.85635091814828,0.0,0.024691358024691357,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.01079899909971121,0.250215995437498,0.010283397498397163,0.250215995437498,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_015/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_015/metrics.json
moderate,16,71,0.9260241032311908,1.0082616506939277,1.104394623500175,1.0539044250163887,0.07146035042271176,0.0,0.0015694963232778622,0.0003021177609268611,0.001776891772332004,-0.04883518855349546,0.05271283543694008,-0.004926293435419682,-930.9857138338967,ridge_no_safety,0.06777952965111506,0.0943329378040664,0.052751306265244005,13.730180369240667,0.0,0.037037037037037035,37,0,False,False,alpha_corridor_violation,6.5,high,0.024332937804066396,0.0,18.5,0.0,False,0.0,0.0,True,0.024332937804066396,0.0,False,False,0.025802710708557774,0.0,0.10304641558002095,0.19311323252924428,0.0032201861928426528,0.13338882871450716,-0.0014697729044913788,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_016/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_016/metrics.json
moderate,17,72,1.10135102034214,0.8520025368035228,0.8925793022278865,0.8456942178381268,0.2504541557655864,0.5,0.0017199235130644019,7.783626385904558e-05,0.0008739507574789569,-0.021392285076914555,0.05470143151601368,-0.0060694507951638025,917.2819730219906,ridge_no_safety,0.0817772365930302,0.10735076304945443,0.05622030699503542,13.657431074227105,0.0,0.037037037037037035,52,0,False,False,alpha_corridor_violation,4.5,high,0.03735076304945442,0.0,26.0,0.0,False,0.0,0.0,False,0.03735076304945442,0.0,False,False,0.035871356412029404,0.0,0.2682743386887699,0.3634113002093219,0.01061898582155301,0.35,0.001479406637425018,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_017/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_017/metrics.json
moderate,18,73,0.9977908567864578,0.941010261358429,0.9074271124815184,1.194062858536881,0.07696193703320789,0.5,0.0025640913291227873,0.00025623689872175366,0.0025300887416886,-0.02830285004668156,0.03813411794899975,-0.015854169044594447,-235.45704685535296,ridge_no_safety,0.02485503483580486,0.042110642173838086,0.0388812400365404,4.185665731854344,0.0,0.012345679012345678,0,0,False,False,success,,none,0.0,0.0,0.0,0.0,False,0.0,0.0,True,0.0,0.0,True,True,0.0,0.0,0.01387139977154994,0.1808529148428089,0.01387139977154994,0.1808529148428089,0.0,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_018/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_018/metrics.json
moderate,19,74,1.1183134805316721,1.006216285054576,1.0705616557853193,1.0676795752504191,0.19769333141785744,0.5,1.1917964336129016e-05,0.0011225632749167018,0.0029069938956347873,-0.02665816704073959,0.046839919690817626,0.018480748419728115,583.4377275653063,ridge_no_safety,0.05032032648228606,0.07300733125940861,0.0480882680746019,10.777106367421272,0.0,0.024691358024691357,11,0,False,False,alpha_corridor_violation,10.0,high,0.0030073312594086077,0.0,5.5,0.0,False,0.0,0.0,True,0.0030073312594086077,0.0,False,True,0.0021860154236991447,0.0,0.04119228602321291,0.13407629376700872,0.038650287408228234,0.13407629376700872,0.000821315835709463,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_019/trajectory.csv,outputs/phase20_full_oracle_imitation/ridge_no_safety/moderate/scenario_019/metrics.json
